nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x006641a4 NONE FUNC kernel32.dll DeleteCriticalSection
2   0x006641a8 NONE FUNC kernel32.dll LeaveCriticalSection
3   0x006641ac NONE FUNC kernel32.dll EnterCriticalSection
4   0x006641b0 NONE FUNC kernel32.dll InitializeCriticalSection
5   0x006641b4 NONE FUNC kernel32.dll VirtualFree
6   0x006641b8 NONE FUNC kernel32.dll VirtualAlloc
7   0x006641bc NONE FUNC kernel32.dll LocalFree
8   0x006641c0 NONE FUNC kernel32.dll LocalAlloc
9   0x006641c4 NONE FUNC kernel32.dll GetTickCount
10  0x006641c8 NONE FUNC kernel32.dll QueryPerformanceCounter
11  0x006641cc NONE FUNC kernel32.dll GetVersion
12  0x006641d0 NONE FUNC kernel32.dll GetCurrentThreadId
13  0x006641d4 NONE FUNC kernel32.dll InterlockedDecrement
14  0x006641d8 NONE FUNC kernel32.dll InterlockedIncrement
15  0x006641dc NONE FUNC kernel32.dll VirtualQuery
16  0x006641e0 NONE FUNC kernel32.dll WideCharToMultiByte
17  0x006641e4 NONE FUNC kernel32.dll MultiByteToWideChar
18  0x006641e8 NONE FUNC kernel32.dll lstrlenA
19  0x006641ec NONE FUNC kernel32.dll lstrcpynA
20  0x006641f0 NONE FUNC kernel32.dll LoadLibraryExA
21  0x006641f4 NONE FUNC kernel32.dll GetThreadLocale
22  0x006641f8 NONE FUNC kernel32.dll GetStartupInfoA
23  0x006641fc NONE FUNC kernel32.dll GetProcAddress
24  0x00664200 NONE FUNC kernel32.dll GetModuleHandleA
25  0x00664204 NONE FUNC kernel32.dll GetModuleFileNameA
26  0x00664208 NONE FUNC kernel32.dll GetLocaleInfoA
27  0x0066420c NONE FUNC kernel32.dll GetLastError
28  0x00664210 NONE FUNC kernel32.dll GetCommandLineA
29  0x00664214 NONE FUNC kernel32.dll FreeLibrary
30  0x00664218 NONE FUNC kernel32.dll FindFirstFileA
31  0x0066421c NONE FUNC kernel32.dll FindClose
32  0x00664220 NONE FUNC kernel32.dll ExitProcess
33  0x00664224 NONE FUNC kernel32.dll ExitThread
34  0x00664228 NONE FUNC kernel32.dll CreateThread
35  0x0066422c NONE FUNC kernel32.dll WriteFile
36  0x00664230 NONE FUNC kernel32.dll UnhandledExceptionFilter
