Scanning 192.168.11.6:9520 commands 01:00..01:FF
01:00 -> frames=1 firstStatus=0x9005 firstBytes=22
01:01 -> frames=1 firstStatus=n/a firstBytes=16
01:02 -> frames=1 firstStatus=0x9008 firstBytes=22
01:03 -> frames=1 firstStatus=0x9008 firstBytes=22
01:04 -> frames=1 firstStatus=0x9008 firstBytes=22
01:05 -> frames=1 firstStatus=0x9008 firstBytes=22
01:06 -> frames=1 firstStatus=0x9008 firstBytes=22
01:07 -> frames=1 firstStatus=0x9008 firstBytes=22
01:08 -> frames=1 firstStatus=0x9008 firstBytes=22
01:09 -> frames=1 firstStatus=0x9008 firstBytes=22
01:0A -> frames=1 firstStatus=0xA512 firstBytes=32
01:0B -> frames=1 firstStatus=0xFF00 firstBytes=24
01:0C -> frames=1 firstStatus=0x310B firstBytes=38
01:0D -> frames=1 firstStatus=0x0000 firstBytes=32
01:0E -> frames=1 firstStatus=n/a firstBytes=16
01:0F -> frames=1 firstStatus=0x1F03 firstBytes=22
01:10 -> frames=1 firstStatus=0x55AA firstBytes=68
01:11 -> frames=1 firstStatus=0x9008 firstBytes=22
01:12 -> frames=1 firstStatus=0x6946 firstBytes=775
01:13 -> frames=1 firstStatus=0x4552 firstBytes=68
01:14 -> frames=1 firstStatus=0x9005 firstBytes=22
01:15 -> frames=1 firstStatus=0x9005 firstBytes=22
01:16 -> frames=1 firstStatus=0x0101 firstBytes=24
01:17 -> frames=1 firstStatus=0x9005 firstBytes=22
01:18 -> frames=1 firstStatus=0x9005 firstBytes=22
01:19 -> frames=1 firstStatus=0x9005 firstBytes=22
01:1A -> frames=1 firstStatus=0x9005 firstBytes=22
01:1B -> frames=1 firstStatus=0x9005 firstBytes=22
01:1C -> frames=1 firstStatus=0x9005 firstBytes=22
01:1D -> frames=1 firstStatus=0x9005 firstBytes=22
01:1E -> frames=1 firstStatus=0x9005 firstBytes=22
01:1F -> frames=1 firstStatus=0x9005 firstBytes=22
01:20 -> frames=1 firstStatus=0x9005 firstBytes=22
01:21 -> frames=1 firstStatus=0x9005 firstBytes=22
01:22 -> frames=1 firstStatus=0x9005 firstBytes=22
01:23 -> frames=1 firstStatus=0x9005 firstBytes=22
01:24 -> frames=1 firstStatus=0x9005 firstBytes=22
01:25 -> frames=1 firstStatus=0x9005 firstBytes=22
01:26 -> frames=1 firstStatus=0x9005 firstBytes=22
01:27 -> frames=1 firstStatus=0x9005 firstBytes=22
01:28 -> frames=1 firstStatus=0x9005 firstBytes=22
01:29 -> frames=1 firstStatus=0x9005 firstBytes=22
01:2A -> frames=1 firstStatus=0x9005 firstBytes=22
01:2B -> frames=1 firstStatus=0x9005 firstBytes=22
01:2C -> frames=1 firstStatus=0x9005 firstBytes=22
01:2D -> frames=1 firstStatus=0x9005 firstBytes=22
01:2E -> frames=1 firstStatus=0x9005 firstBytes=22
01:2F -> frames=1 firstStatus=0x9005 firstBytes=22
01:30 -> frames=1 firstStatus=0x9005 firstBytes=22
01:31 -> frames=1 firstStatus=0x9005 firstBytes=22
01:32 -> frames=1 firstStatus=0x9005 firstBytes=22
01:33 -> frames=1 firstStatus=0x9005 firstBytes=22
01:34 -> frames=1 firstStatus=0x9005 firstBytes=22
01:35 -> frames=1 firstStatus=0x9005 firstBytes=22
01:36 -> frames=1 firstStatus=0x9005 firstBytes=22
01:37 -> frames=1 firstStatus=0x9005 firstBytes=22
01:38 -> frames=1 firstStatus=0x9005 firstBytes=22
01:39 -> frames=1 firstStatus=0x9005 firstBytes=22
01:3A -> frames=1 firstStatus=0x9005 firstBytes=22
01:3B -> frames=1 firstStatus=0x9005 firstBytes=22
01:3C -> frames=1 firstStatus=0x9005 firstBytes=22
01:3D -> frames=1 firstStatus=0x9005 firstBytes=22
01:3E -> frames=1 firstStatus=0x9005 firstBytes=22
01:3F -> frames=1 firstStatus=0x9005 firstBytes=22
01:40 -> frames=1 firstStatus=0x9005 firstBytes=22
01:41 -> frames=1 firstStatus=0x9005 firstBytes=22
01:42 -> frames=1 firstStatus=0x9005 firstBytes=22
01:43 -> frames=1 firstStatus=0x9005 firstBytes=22
01:44 -> frames=1 firstStatus=0x9005 firstBytes=22
01:45 -> frames=1 firstStatus=0x9005 firstBytes=22
01:46 -> frames=1 firstStatus=0x9005 firstBytes=22
01:47 -> frames=1 firstStatus=0x9005 firstBytes=22
01:48 -> frames=1 firstStatus=0x9005 firstBytes=22
01:49 -> frames=1 firstStatus=0x9005 firstBytes=22
01:4A -> frames=1 firstStatus=0x9005 firstBytes=22
01:4B -> frames=1 firstStatus=0x9005 firstBytes=22
01:4C -> frames=1 firstStatus=0x9005 firstBytes=22
01:4D -> frames=1 firstStatus=0x9005 firstBytes=22
01:4E -> frames=1 firstStatus=0x9005 firstBytes=22
01:4F -> frames=1 firstStatus=0x9005 firstBytes=22
01:50 -> frames=1 firstStatus=0x9005 firstBytes=22
01:51 -> frames=1 firstStatus=0x9005 firstBytes=22
01:52 -> frames=1 firstStatus=0x9005 firstBytes=22
01:53 -> frames=1 firstStatus=0x9005 firstBytes=22
01:54 -> frames=1 firstStatus=0x9005 firstBytes=22
01:55 -> frames=1 firstStatus=0x9005 firstBytes=22
01:56 -> frames=1 firstStatus=0x9005 firstBytes=22
01:57 -> frames=1 firstStatus=0x9005 firstBytes=22
01:58 -> frames=1 firstStatus=0x9005 firstBytes=22
01:59 -> frames=1 firstStatus=0x9005 firstBytes=22
01:5A -> frames=1 firstStatus=0x9005 firstBytes=22
01:5B -> frames=1 firstStatus=0x9005 firstBytes=22
01:5C -> frames=1 firstStatus=0x9005 firstBytes=22
01:5D -> frames=1 firstStatus=0x9005 firstBytes=22
01:5E -> frames=1 firstStatus=0x9005 firstBytes=22
01:5F -> frames=1 firstStatus=0x9005 firstBytes=22
01:60 -> frames=1 firstStatus=0x9005 firstBytes=22
01:61 -> frames=1 firstStatus=0x9005 firstBytes=22
01:62 -> frames=1 firstStatus=0x9005 firstBytes=22
01:63 -> frames=1 firstStatus=0x9005 firstBytes=22
01:64 -> frames=1 firstStatus=0x9005 firstBytes=22
01:65 -> frames=1 firstStatus=0x9005 firstBytes=22
01:66 -> frames=1 firstStatus=0x9005 firstBytes=22
01:67 -> frames=1 firstStatus=0x9005 firstBytes=22
01:68 -> frames=1 firstStatus=0x9005 firstBytes=22
01:69 -> frames=1 firstStatus=0x9005 firstBytes=22
01:6A -> frames=1 firstStatus=0x9005 firstBytes=22
01:6B -> frames=1 firstStatus=0x9005 firstBytes=22
